Density	Iteration	Generations	AliveCells
0.1	1	15	24
0.1	2	20	18
0.1	3	48	30
0.1	4	202	13
0.1	5	481	22
0.1	6	25	20
0.1	7	18	26
0.1	8	15	19
0.1	9	449	12
0.1	10	20	6
0.2	1	242	39
0.2	2	1000	26
0.2	3	476	16
0.2	4	240	31
0.2	5	128	19
0.2	6	500	21
0.2	7	227	51
0.2	8	165	43
0.2	9	729	53
0.2	10	273	28
0.3	1	180	21
0.3	2	227	28
0.3	3	149	9
0.3	4	233	48
0.3	5	265	25
0.3	6	150	34
0.3	7	474	16
0.3	8	166	51
0.3	9	185	37
0.3	10	549	40
0.4	1	333	27
0.4	2	412	50
0.4	3	428	22
0.4	4	746	16
0.4	5	240	35
0.4	6	555	25
0.4	7	281	40
0.4	8	237	23
0.4	9	363	56
0.4	10	707	30
0.5	1	382	38
0.5	2	349	37
0.5	3	193	22
0.5	4	782	36
0.5	5	561	25
0.5	6	193	58
0.5	7	262	21
0.5	8	799	28
0.5	9	134	55
0.5	10	267	13
